Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),120621.22,273.00,254612.00,133165830.00,662.98,33852.75,47099.10,74640.75,114096.50,166212.50,211811.00,230543.45,249184.32,60132.20
Usage Total Tokens (tokens),121704.23,287.00,255925.00,134361469.00,685.07,34132.55,47706.30,75292.75,115067.00,167805.00,213019.30,231020.60,249765.85,60503.69

Metric,Value
Benchmark Duration (sec),3621.91
Input Token Throughput (tokens/sec),36584.02
Maximum Response Timestamp (ns),1785139646477909760.00
Minimum Request Timestamp (ns),1785136024567186688.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),328.47
Request Count,1104.00
Request Throughput (requests/sec),0.30
Theoretical Prefix Cache Hit (%),96.56
Total Input Sequence Length (tokens),133165830.00
Total Output Sequence Length (tokens),1195639.00
Total Output Tokens (tokens),1195639.00
Total Token Throughput (tokens/sec),36912.49
Total Usage Completion Tokens (tokens),1195639.00
Total Usage Prompt Tokens (tokens),133165830.00
Total Usage Total Tokens (tokens),134361469.00
